CODGEO,Commune,nombre_habitants,latitude,longitude,somme_faits
97101,Les Abymes,59000,16.271869940513,-61.50405395704028,2990
97102,Anse-Bertrand,4541,16.47176872814221,-61.512177025530825,94
97103,Baie-Mahault,30400,16.26757061299841,-61.58772562929389,1276
97104,Baillif,5035,16.021552571385556,-61.74857233373351,180
97105,Basse-Terre,10700,15.995811895965929,-61.73003290574951,671
97106,Bouillante,7600,16.132397463315524,-61.76917169786399,173
97107,Capesterre-Belle-Eau,19000,16.042010739651644,-61.55150508042235,825
97108,Capesterre-de-Marie-Galante,3246,15.89003788264396,-61.204789244502244,26
97109,Gourbeyre,7771,15.994768728579096,-61.694533332977514,179
97110,La Désirade,1474,16.3030863577267,-61.082080554963,11
97111,Deshaies,4752,16.30704052852916,-61.792071998436846,137
97112,Grand-Bourg,5522,15.880192556196397,-61.32309312432812,201
97113,Le Gosier,27800,16.20750292665376,-61.494067850146294,1294
97114,Goyave,8200,16.13100278477124,-61.573032085752516,290
97115,Lamentin,16600,16.272109235333325,-61.633456891436204,543
97116,Morne-à-l'Eau,17372,16.333692243904416,-61.452963812843855,659
97117,Le Moule,22500,16.33290863564931,-61.336195198704225,867
97118,Petit-Bourg,24272,16.190239661344187,-61.58769681913216,803
97119,Petit-Canal,8368,16.38226985324929,-61.49052573989271,251
97120,Pointe-à-Pitre,16200,16.236500839381687,-61.54156097260366,1743
97121,Pointe-Noire,6902,16.232188815731714,-61.792246031597564,227
97122,Port-Louis,5843,16.415562030916092,-61.532987050418505,348
97124,Saint-Claude,10185,16.024316156158317,-61.70650683547222,207
97125,Saint-François,13900,16.251788160997876,-61.28271027965795,858
97126,Saint-Louis,2707,15.95602376574285,-61.31782251060586,65
97128,Sainte-Anne,24281,16.225916611640898,-61.3798813530701,885
97129,Sainte-Rose,20000,16.33094959822856,-61.69262525390383,648
97130,Terre-de-Bas,1046,15.846079132703377,-61.63383266700549,0
97131,Terre-de-Haut,1853,15.8617891857386,-61.56850757169693,32
97132,Trois-Rivières,8237,15.974080343602141,-61.647714250174786,159
97133,Vieux-Fort,1787,15.947387437585459,-61.70160745380435,9
97134,Vieux-Habitants,7014,16.0580612391062,-61.76693255148228,114
